scenario,case,case_label,year,inv_bn,depreciation_bn,opening_rab_bn,closing_rab_bn,wacc_times_rab_bn,opex_bn,total_cost_bn,demand_twh,system_avg_ct_per_kwh,system_avg_eur_per_mwh,system_avg_eur_per_kwh
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2037,29.9144,12.8962,429.8725,446.8907,23.6430,22.6400,59.1792,772.8283,7.6575,76.5748,0.0766
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2038,21.1161,13.4067,446.8907,454.6001,24.5790,23.1800,61.1657,793.7602,7.7058,77.0582,0.0771
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2039,21.1161,13.6380,454.6001,462.0782,25.0030,23.7300,62.3710,814.6922,7.6558,76.5578,0.0766
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2040,21.1161,13.8623,462.0782,469.3319,25.4143,24.2700,63.5466,835.6241,7.6047,76.0469,0.0760
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2023,15.0000,5.5800,186.0000,195.4200,9.3744,15.0000,29.9544,510.0000,5.8734,58.7341,0.0587
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2024,18.0000,5.8626,195.4200,207.5574,9.8492,15.5500,31.2618,520.0000,6.0119,60.1188,0.0601
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2025,18.0000,6.2267,207.5574,219.3307,10.4609,16.0900,32.7776,530.0000,6.1845,61.8446,0.0618
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2026,23.0000,6.5799,219.3307,235.7508,11.0543,16.6400,34.2742,549.2610,6.2401,62.4005,0.0624
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2027,23.0000,7.0725,235.7508,251.6782,11.8818,17.1800,36.1344,568.5220,6.3558,63.5584,0.0636
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2028,30.0000,7.5503,251.6782,274.1279,12.6846,17.7300,37.9649,587.7830,6.4590,64.5900,0.0646
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2029,30.0000,8.2238,274.1279,295.9041,15.0770,18.2700,41.5709,607.0440,6.8481,68.4808,0.0685
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2030,34.0000,8.8771,295.9041,321.0269,16.2747,18.8200,43.9718,626.3049,7.0208,70.2084,0.0702
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2031,34.0000,9.6308,321.0269,345.3961,17.6565,19.3600,46.6473,647.2369,7.2071,72.0714,0.0721
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2032,34.0000,10.3619,345.3961,369.0342,18.9968,19.9100,49.2687,668.1688,7.3737,73.7369,0.0737
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2033,34.0000,11.0710,369.0342,391.9632,20.2969,20.4500,51.8179,689.1007,7.5196,75.1964,0.0752
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2034,34.0000,11.7589,391.9632,414.2043,21.5580,21.0000,54.3169,710.0326,7.6499,76.4991,0.0765
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2035,34.0000,12.4261,414.2043,435.7782,22.7812,21.5500,56.7574,730.9645,7.7647,77.6472,0.0776
