,,2020,2020,2020,2025,2025,2025,2030,2030,2030,2035,2035,2035,2040,2040,2040,2045,2045,2045,2050,2050,2050
,,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice
ES,van,0.013636,0.004727,0.981636,0.081818,0.028364,0.889818,0.150000,0.052000,0.798000,0.240000,0.056000,0.704000,0.330000,0.060000,0.610000,0.420000,0.100000,0.480000,0.510000,0.140000,0.350000
ES,bus,0.013636,0.004727,0.981636,0.081818,0.028364,0.889818,0.150000,0.052000,0.798000,0.240000,0.056000,0.704000,0.330000,0.060000,0.610000,0.420000,0.100000,0.480000,0.510000,0.140000,0.350000
FI,passenger,0.031813,0.000000,0.968187,0.172811,0.000000,0.827189,0.313810,0.000000,0.686190,0.561905,0.000000,0.438095,0.810000,0.000000,0.190000,0.896500,0.000000,0.103500,0.983000,0.000000,0.017000
FI,truck,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.137755,0.010204,0.852041,0.275510,0.020408,0.704082,0.412755,0.050204,0.537041,0.550000,0.080000,0.370000
FI,van,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.137755,0.010204,0.852041,0.275510,0.020408,0.704082,0.412755,0.050204,0.537041,0.550000,0.080000,0.370000
FI,bus,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.137755,0.010204,0.852041,0.275510,0.020408,0.704082,0.412755,0.050204,0.537041,0.550000,0.080000,0.370000
FR,passenger,0.022682,0.000000,0.977318,0.126341,0.000000,0.873659,0.230000,0.000000,0.770000,0.470000,0.000000,0.530000,0.710000,0.000000,0.290000,0.825000,0.000000,0.175000,0.940000,0.000000,0.060000
FR,truck,0.010746,0.000532,0.988722,0.064475,0.003194,0.932331,0.118204,0.005856,0.875941,0.302302,0.030728,0.666970,0.486400,0.055600,0.458000,0.584025,0.069905,0.346070,0.681650,0.084210,0.234140
FR,van,0.010746,0.000532,0.988722,0.064475,0.003194,0.932331,0.118204,0.005856,0.875941,0.302302,0.030728,0.666970,0.486400,0.055600,0.458000,0.584025,0.069905,0.346070,0.681650,0.084210,0.234140
FR,bus,0.010746,0.000532,0.988722,0.064475,0.003194,0.932331,0.118204,0.005856,0.875941,0.302302,0.030728,0.666970,0.486400,0.055600,0.458000,0.584025,0.069905,0.346070,0.681650,0.084210,0.234140
GB,passenger,0.016662,0.001814,0.981524,0.089742,0.010884,0.899374,0.162822,0.019953,0.817224,0.331307,0.025713,0.642980,0.499791,0.031473,0.468735,0.624313,0.044931,0.330756,0.748835,0.058389,0.192776
GB,truck,0.008373,0.001856,0.989771,0.050050,0.011139,0.938811,0.091727,0.020421,0.887852,0.241843,0.060964,0.697193,0.391959,0.101507,0.506535,0.478633,0.132535,0.388831,0.565308,0.163564,0.271127
GB,van,0.008373,0.001856,0.989771,0.050050,0.011139,0.938811,0.091727,0.020421,0.887852,0.241843,0.060964,0.697193,0.391959,0.101507,0.506535,0.478633,0.132535,0.388831,0.565308,0.163564,0.271127
GB,bus,0.008373,0.001856,0.989771,0.050050,0.011139,0.938811,0.091727,0.020421,0.887852,0.241843,0.060964,0.697193,0.391959,0.101507,0.506535,0.478633,0.132535,0.388831,0.565308,0.163564,0.271127
GR,passenger,0.004982,0.000000,0.995018,0.029491,0.000000,0.970509,0.054000,0.000000,0.946000,0.202000,0.000000,0.798000,0.350000,0.000000,0.650000,0.660000,0.000000,0.340000,0.970000,0.000000,0.030000
GR,truck,0.003060,0.000000,0.996940,0.018362,0.000000,0.981638,0.033663,0.000000,0.966337,0.306832,0.018500,0.674668,0.580000,0.037000,0.383000,0.750000,0.058500,0.191500,0.920000,0.080000,0.000000
GR,van,0.003060,0.000000,0.996940,0.018362,0.000000,0.981638,0.033663,0.000000,0.966337,0.306832,0.018500,0.674668,0.580000,0.037000,0.383000,0.750000,0.058500,0.191500,0.920000,0.080000,0.000000
GR,bus,0.003060,0.000000,0.996940,0.018362,0.000000,0.981638,0.033663,0.000000,0.966337,0.306832,0.018500,0.674668,0.580000,0.037000,0.383000,0.750000,0.058500,0.191500,0.920000,0.080000,0.000000
HR,passenger,0.003124,0.000000,0.996876,0.018312,0.000000,0.981688,0.033500,0.000000,0.966500,0.093000,0.000000,0.907000,0.152500,0.000000,0.847500,0.540500,0.008250,0.451250,0.928500,0.016500,0.055000
HR,truck,0.000000,0.001637,0.998363,0.000000,0.009820,0.990180,0.000000,0.018003,0.981997,0.012500,0.026502,0.960998,0.025000,0.035000,0.940000,0.087500,0.057500,0.855000,0.150000,0.080000,0.770000
